,review_text,verified_purchase
0,get older know like suitabl bodi like dove give fresh wide awak feel dandruff flakey smelli pit,True
1,three gigant marmit jar last probabl whole life els would possibl wish order came time mention safe pack happi,True
2,excel,True
3,great flavour top slow cook,True
4,say,False
5,excel item good men,False
6,thank happi,True
7,beauti,True
8,alway buy big bottl,True
9,alway heavili mistreat hair work wonder time time,True
10,great valu,True
11,one pictur get star regular one awesom peopl dri,True
12,item describ excel qualiti rapid deliveri great irrit red blemish,True
13,good bodi wash strong smell,True
14,great,True
15,worth,True
16,rememb tri friend hous year ago ive month one ill buy,False
17,great,True
18,best antiperspir unless like go work snow drift arm,True
19,love,True
20,die eat one u die content man love u em,False
21,love rang bodi lotion u greasi easi appli soak quickli leav feel super soft moisturis great valu money scent fresh light great go beauti essenti bathroom cupboard review collect part promot,False
22,suffer dri sensit vaselin one make flare itch like crazi first thing notic beauti fresh smell escap lift cap appli drop instantli felt sooth relief easili moisturis absorb effortlessli greasi unlik alot moisturis tri everi day improv dri condit massiv recommend enough absolut love review collect part promot,False
23,absolut love stuff leav love linger fragranc smell time open wardrob cloth drawer get everyth clean realli well remind kid mum put freshli launder cloth love,True
24,happi,True
25,love wash cashmer sweater home save lot money compar take cloth dri cleaner everi week happi purchas,True
26,prior receiv pretti rough elbow particular feel dri busi mum two admit sometim neglect may empathis trial gave perfect opportun reconnect bit u cme time u day bath shower smother must admit first time put u sure smell u offens u like cucumb smell although u alo tend smell perfum time howev day actual like smell applic went nice thick soak pretti quickli u feel sticki alway morn wash even even bedtim feel notic softer rough elbow gone verdict thumb ye continu thank fab trial introduc vaselin alo review collect part promot,False
27,happi item,True
28,realli like textur almost like gel realli light easili absorb leav feel soft fresh without weight thicker cream would buy review collect part promot,False
29,smell nice,True
30,great deal tresem shampoo give long last suppli need keep buy good price,True
31,great valu,True
32,love comfort,True
33,horribl,False
34,great buy,True
35,love contain easi pour refil nother automat liquid futur thick gloopi hard econom scent smell like wear wash may love rins,True
36,wash shark well,True
37,excel,True
38,good pleasant smell deoder boy love christma,True
39,deliv quickli decent shampoo star one bottl leak deliv,True
40,lot make brand past bought expens make remov none ever remov mascara eye shadow foundat base etc gentli well simpl cleans lotion consist runni squeez bottl appropri onto cotton wool ideal control much dispens also great tidi eyelin mascara error appli spars cotton wool bud alway keep bathroom cabinet pay,False
41,sure big jar cost doubl size though,False
42,got offer cloth come soft smell great last long time genuin well,True
43,amaz buy last month smelt amaz neighbour even ask buy one,True
44,great buy smell gorgeou,True
45,textur like bath shower,True
46,share famili,True
47,love even better deal,True
48,great,True
49,bought item give gift advertis dove moisturis deepli nourish bodi wash receiv dove idratant bagnodoccia di belleza languag cannot read even less distinct fragranc,True
50,good price nice smell overpow leav white powderi mess like anti perspir happi,True
51,good wipe good buy,True
52,nice fragranc seem last cloth,True
53,tresemm year previous regular heat protect recommend one colour treat hair gave go ive look back leav hair love shine ive got dy red hair hard keep look healthi seem good job heat protect dri hair straighten tong seem keep damag away,False
54,much cheaper boot great valu,True
55,like blue version overpow aw smell bin,False
56,like one regular wash everyth come clean two load kg wash lot white wash give extra boost machin water cycl good valu money buy pack three regular purchas,True
57,excel valu hav carri,True
58,wash,True
59,love fresh smell,True
60,great item,True
61,like noodl tast like spare rib,True
62,good deodor easili irrit like dove soap seem irrit dri dove soap quit long time certainli someth good seem good main sell point beyond effect hour deodor prone mark cloth certainli seem work far goe though abl test everi singl colour good though recommend,False
63,great bodi wash cheap fast deliveri,True
64,yet tri tast day age start produc perfect glass bottl suddenli plastic,False
65,even worth one star bring lot white stuff high expect total failur wast,True
66,bought step dad,True
67,love oh smell good hate year still everyon els,True
68,great gift,True
69,classic know hellman mayo cap stay much cleaner jar tast great everyth,False
70,cool,True
71,absolut great moistur dri complain smell great like coca butter smell,True
72,great packag buy,True
73,work well truli invis,True
74,nice cost effect,True
75,great,True
76,exactli say kitchen sink alway get block sinc put block last month,True
77,favourit scent intens rang smell love last age cloth recommend amount otherwis scent strong definit wash probabl half,False
78,find best laundri part includ one dose like liquid powder smell great wash well,False
79,calori realli big portion,False
80,cream easi appli feel extremli cool doesnt dri kind sticki feel littl scent fact frangranc fairli neutral good cream spread soak easili review collect part promot,False
81,execel made feel silki smooth extrem hydrat coupl week felt healthier hydrat overal look better would definit recommend friend review collect part promot,False
82,cream light odourless leav feel genuin smooth suppl refresh part nightli routin appli go bed wash dri face light enough clog pore feel sticki face morn face alway feel smooth replenish also tri cream daytim benefit describ u long last enough term hydrat give mean often feel need reappli hour great overnight moisturis sensit u unscent u realli gentl sore patch review collect part promot,False
83,fresh clean reliabl deliveri,True
84,great combin start yo born still,True
85,nice fresh smell,True
86,crave thing transport us back innoc time bovril one thing gooey unctuous tar black bovril overflow spoon ding ding ding stir hot water make dissolv earthi beefi smell hint celeri good know els sometim get alcohol fatigu bovril great altern nightcap even mug tea even go far dissolv pat butter extra rich within hour pretti much knock sleep soundli morn warm comfort pack last long time sure certainli winter,True
87,love bought cheaper home bargain,True
88,item damag unabl pour without spillag transfer anoth bottl unabl wait replac,True
89,good price,True
90,came fast,True
91,hi simpl absolut must facial moisturis cannot find uk store anywher discontinu pleas,False
92,pleas go back old capsul new one make household suffer terribl allerg reaction constant hay fever,False
93,never usual laundri soften pleasantli surpris result cloth smelt great smell last despit children best effort cloth came much softer think convert,False
94,marmit lover switch back glass jar marmit right consist squeez glass jar recycl,False
95,great,True
96,thank,True
97,got great buy put much wash clean cloth end fragranc last long time,True
98,lure entic fragranc condition notic eye would smart kid would ask seem squint eye back comfort pure reaction smell good soften cloth complain,False
99,give good result fragranc strong though last long time realli like realli abl still avoid,False
100,good,True
101,good size spray,True
102,price bulk pack less buy item individu somewher els shampoo tend dri hair like lot chemic perfect contain noth keep dandruff free even anti dandruff shampoo alway work found past,True
103,like make soup casserol well,True
104,best ice cream ever,False
105,live extrem hard water area half year soon hair becom dri scalp sensit great shampoo husband complet satisfi,False
106,easi recommend want get glam go somewher,True
107,disappoint show big condition small arriv,True
108,know work,True
109,clean cloth well mani cloth smell good wise price good,True
110,would recommend good valu,True
111,buy thank,True
112,say,True
113,alway fan dove antiperspir effect last longer ever realli gentl keep fresh day long,True
114,expect repeat purchas,True
115,excel valu money,True
116,excel clean good valu,True
117,happi,True
118,excel valu,True
119,great valu shampoo,False
120,exactli wat say box amazon deal less money spent,True
121,exact similar litr one costco thick smelt love similar regular size one supermarket think larg quantiti issu one amazon runni dilut smell soften cloth may fake think realli curiou bad batch amazon sourc genuin baffl,True
122,amaz offer price resist,True
123,hand realli dri bleed due eczema handwash dosent dri hand make bleed,False
124,issu say,True
125,need say time soup risotto,True
126,simpli love deodrant scent great fresh sporti week never problem never leav white mark cloth,False
127,thicken gravi realli well add wonder flavour,False
128,amaz great price,True
129,smell great easi one hand applic,True
130,good valu would recommend,True
131,bodi deodor love smell great valu money,False
132,floor cleaner smell good home feel refresh,True
133,btilliant buy,True
134,valu money,True
135,fabric condition work less one smell divin last,True
136,find shop bought line thought fake brand smell similar quit africa poorer sinc new label,False
137,year happi last can nozzl block within week cant clear hot water bit disappoint,False
138,buy year content good howev bottl aw three time cut right fingernail open also turn upsid approach empti due ridicul design bottl,False
139,pleasant littl scent want shower gel brilliant nasti chemic smell super clean design great whole famili young old simpl friendli mean perfum colour honestli say leav irrit sensit problemat prone dermat stuff could face wash gentl review collect part promot,False
140,wipe great get stubborn make love fact wipe infus miner plant extract ther irrit sting face feel smooth refresh review collect part promot,False
141,great qualiti wipe strong tear apart like wipe must buy brand name purchas near futur satisfi simpl line review collect part promot,False
142,love face wipe great job remov make left feel squeaki clean ad bonu absenc strong smell feel left love review collect part promot,False
143,sensit work realli well took make easili u irrit felt realli refresh would definit purchas futur would recommend review collect part promot,False
144,month realli pleas work get make easili smell nice wet leav moisturis silki clean irrit defient new favourit make remov review collect part promot,False
145,tri test quench night cream light soft textur appli night soak make fell soft would recommend friend famili work wonder review collect part promot,False
146,happi light sensit would recommend appli much wish day u feel bad come easi plastic tub easi screw top review collect part promot,False
147,great water base moisturis light give dewi complexion sinc twice day notic signific improv elast tone review collect part promot,False
148,anoth great simpl ever stop make pleas,False
149,good flavor,True
150,great,True
151,question say bottl,True
152,good valu favourit condition,True
153,love smell,True
154,love howev hard spray would recommend though,True
155,got tri wasnt disappoint littl less thick condition market make go also notic tray doesnt get mucki afterward cloth soft love subtl scent still larg bottl go long way,False
156,littl goe long way,False
157,convinc smell match origin seem less thick previou descript refer review show verifi purchas none name,True
158,great soap wife love actual moistur everytim,True
159,love soap clean well keep hand moist good peopl eczema,True
160,definit worth money laundri often last month definit buy,True
161,arriv super fast two good size bottl dont know peopl moan review size fabric soften ultra concentr dont need full cap last long enough fabric soften also smell great,True
162,great happi,True
163,great price purchas still price would subscrib buy,True
164,love smell pour smaller bottl make manag beat,True
165,pod work well great valu three bag bought,True
166,love comfort pure children sensit irrit like soften done past scent also pleasant overpow,False
167,thank,True
168,bit wateri,True
169,good,True
170,blue bottl alot better smell less blue bottl cloth hang outsid wash line small anyth,False
171,great valu money smell nice seem stop hair static day,True
172,good,True
173,arriv broken spilt insid envelop,True
174,squirt well,False
175,good valu amount capsul get packet good price,True
176,bit runni thick liquid ok,True
177,work great,True
178,simpl rich moisturis year need find altern new formula burn real shame loyal custom switch inform explan provid manufactur,False
179,excel valu money,True
180,great buy,True
181,person tast sold mine,True
182,three flavour good,False
183,tri mani english mustard time alway come back colman sunday roast take tube invari serv inferior one,False
184,titl suggest realli wont buy tea bag pg tip good strong flavour like strong tea get realli good cup tea bag overli packag like never problem damag tea bag other mention continu buy stapl,False
185,bleach bleachi bleach bleach,False
186,buy shampoo husband shave head everi week year doesnt requir expens shampoo fragranc love complaint lather well clean head tini bit hair perfectli nice packag realli cant go wrong,False
187,dove deodor stick best deodor ever goe love smell amaz leav feel dri confid smell fresh day long love star highli recommend,False
188,great qualiti,True
189,buy amazon prime order problem,True
190,great love scent last age,True
191,,True
192,wash cloth nice,True
193,great tast add depth flavour meal importantli famili gluten free,True
194,year ago love pot noodl student yuck add addit sauc even pasta tast like carboard situat recent access kettl chose mugshot big mistak,True
195,like bottl unsuit plastic thin good thing mean almost imposs pick bottl fill small cap without spill signific amount especi bottl still rel full buy happi decant content sturdier bottl,False
196,love lynx happi buy write review femal like scent men think scent stay longer nice consist lose hand plughol,False
197,perfect,True
198,great great price,True
199,last forev work well chang anoth brand smell pretti neutral,True
200,goo,True
201,consider friend brought dinner parti vegan enjoy turn everybodi love even dairi version delici flavour less heavi textur realli good vanilla ice cream,False
202,fine struggl get smooth thin lid time wet hand imposs also design make difficult hold pour bottl buy,False
203,alway buy love qualiti smell nice leav mark cloth,False
204,love keep hair protect,True
205,happi item,True
206,brilliant left drain clear clean,False
207,great valu,True
208,fine,True
209,v bought load offer wash half cap small much good sens smell way descript say put drop like wtf need cap full think wash,False
210,bulk bought drive heavi carri supermarket scent good suppos last wash half lidful like throw full cap last long,False
211,quit solid find easier contain place warm water minut,True
212,good alround thank,True
213,pouch arriv persil box brown box safe packag good wash capsul easi,True
214,fantast price mother law love great,True
215,well worth,False
216,seem genuin brand came smell liquid usual consist comfort buy,True
217,idea claim wash,True
218,like,True
219,get live dead handi,True
220,love smell,True
221,smell good expens,True
222,good,True
223,love past coupl year recent bought amazon found whole lot cheaper boot also tame hair dri along protect heat,True
224,good valu money,True
225,know anyon like smell tast like weed vinegar,False
226,struggl open lid spill everi time tri cap measur terribl design itsel fine would avoid buy irrit lid,False
227,mani year problem differ itch bought differ shop still itchi buy anymor,False
228,bought week ago tri mani differ tan best come across leav feel moisturis soft nice natur tan streak definit recommend,False
229,good valu money contain make difficult pour without spill,True
230,never buy capsul stuck togeth leak make unus cancel subscript,True
231,good clean kid sensit,True
232,nice mustard smooth tasti,False
233,great,False
234,price rate nephew want christma,True
235,your look super moistur bodi wash leav super soft,False
236,love bodi get super dri winter help reduc fyi,False
237,kid sensit doesnt irrit us great last scent littl bit goe long way bottl last price reason compar similar,False
238,bodi wash soft origin dove origin smell love prefer smell cucumb green tea deep mostur bodi wash mean definetli work great mostureris prefer one still recommend good,False
239,winter help keep moistur find need follow lotion shower get dri work well inexpens like plain scent well,False
240,feel like im realli get clean love lotion feel overli price,False
241,love soft feel cold winter month especi help,False
242,good,True
243,huge bottl smell love cloth dri indoor didnt need soften exxtra scent fast deliveri thankyou,True
244,buy frequent leav slime cloth particularli lower temperatur wash manufactur know packag advis simpli rins warm water occur take kg load machin easi spot usual find put garment time dri encrust,True
245,great smell clean brilliantli,True
246,packag comfort spilt time put wash machin heavi like said comfort wise good,True
247,great price,True
248,love size bottl smell gorgeou littl goe long way,True
249,fab stock filler,True
250,great buy blow dri hair prevent heat damag would recommend got great price bottl,True
251,happi yet prob fault get spray gun work star cheap deliv quick numpti open,True
252,condition good howev bottl lid terribl difficult pour tini lid measur bottl slipperi hold pour buy caus much aggrav,False
253,cannot beat,True
254,never chang,True
255,amazinng smell look realli health,True
256,mayb mani,True
257,perfect price,True
258,arriv broken lid leak box half bottl left,True
259,good valu set took star expect comfort size persil quit bit smaller pictur mislead apart great set reason price,True
260,stock save money quit strong smell need much,True
261,love creami soap would anyth els love lather shower smell love noth like,True
262,good,True
263,nice smell great anitipersperi also work men,True
264,love work realli well protect hair would expect,True
265,good,True
266,make hair smell great definit recommend condition work realli great well,True
267,amaz came perfect time,False
268,alway take badeda go holiday love bath sooth day sun,False
269,sorri say tast aw creat greasi film top stain teeth ceram think peopl milk realis get mix straight would see bad two cent,False
270,go laundri deterg work even,True
271,nice smell last longer,True
272,love smell,False
273,met usual lynx standard,True
274,love scent good wash,True
275,excel,True
276,cream burn lot spot buy,False
277,never anyth els soft creami pamper ideal summer winter tri other noth compar worth everi penni,False
278,bought mani time best eye cream around view especi us advanc year need someth gentl effect excel vitamin miner simpl approach cream choos anyth els fact buy onlin boot local store alway stock,False
279,love scent smell somewhat like babi powder feminin sure much keep perspir sweat lot danc keep smell bay love wish leav horribl waxi residu hard remov shower,True
280,perfect quick snack brilliant cupboard stock,True
281,love soap leav feel smooth moisturis,True
282,smell realli fresh,True
283,sign subscript great valu wonder smell last age never fabric condition compar,True
284,great valu,True
285,smell nice creami textur doeant dri hand buy,False
286,liter year chang someth irrit slight burn sensat earth would chang perfect pleas go back old one,False
287,smell divin easi glide feel soft luxuri everi dri patch smooth soft smell divin well worth star one desert island review collect part promot,False
288,smell aaaaaaaaamaz fresh great valu larg bottl last age cheaper high st store rsi carri heavi shop,True
289,brill,True
290,nice smell shower gel,True
291,love decent fabric soften nice fragranc,True
292,smell nice cloth nice soft,True
293,love smell comfort buy time would diffid recommend leav cloth smell nice,True
294,smell amaz,False
295,smell nice keep cloth smell fresh,False
296,smell good last long time order anoth,True
297,cheaper get ask attend,False
298,usual purchas costco extrem good valu would definit recommend,True
299,may well plain water would job noth,True
300,perfect flavour,True
301,ok,True
302,laundri,True
303,nice,True
304,great valu,True
305,decent price lot cheaper store last age,True
306,nice prefer buy,True
307,great hair straighten,True
308,great great price,True
309,suppos,True
310,arriv pot noodl say,True
311,recommend amount refresh fabric similar amount normal one need lucki get wash,True
312,smell nice justv hour,True
313,happi lt concentr say wash state,True
314,dri keep moisturis much longer,False
315,like fabric soften tri other return one,False
316,gave one jar away gift still two huge jar marmit surviv brexit,True
317,smell divin love fresh fragranc last thought dryer cycl cloth storag like one,True
318,good price good wash pod,True
319,found cream absorb non greasi oili felt comfort appli think well love compar expens one cheap good qualiti,False
320,bottl stuff amaz hair recommend enough,False
321,bought treat children love tasti also fill treat summer time indoor winter got local supermarket back review collect part promot,False
322,happen love cream eyemak remov,False
323,sceptic soap u littl miracl first face could see huge differ feel plump moisturis love glow daili stapl love thank x,False
324,tri simpl hydrat cleans wipe even remov makeup cleanos found wipe soft easi wipe noth wet rough enough remov stubborn make feel gentl time ideal need tone take makeup hurri handi travel would recommend anyon sensit dri review collect part promot,False
325,recent true soon wipe fantast give perfect clean work moistur refresh everi time well worth tri good reviv review collect part promot,False
326,pleas pleas magnum tub incas chocol amazebal love love love flavour go well togeth delici,False
327,shower gel mild yet give nice shower experi feel clean shower gel gentl without irrit keep famili bathroom member household mean clutter mani also littl goe long way review collect part promot,False
328,quit sensit bodi wash often break gel wash howev bodi wash issu realli great littl goe long way realli recommend sensit review collect part promot,False
329,tri first time today packag good easi open etc good squeez releas shower gel smell love shower puff shower gel froth easili well felt soft moisturis clean would recommend review collect part promot,False
330,artif perfum colour harsh chemic upset love thank simpli anoth brilliant brilliant sensit recommend everyon els good qualiti review collect part promot,False
331,love simpl shower gel make feel clean soft refresh without nasti chemic strong perfum scent great everi day especi sensit dri quit prefer soft spong gentli exfoli suffer dri would give go super afford easi review collect part promot,False
332,u shower gel realli like pretti much unscent leav feel clean particularli like sensit havent issu sinc good valu money good size review collect part promot,False
333,love nice appli spong shower good make warm nice make dri good recommend everyon need bath shower review collect part promot,False
334,got coupl day ago shower refresh leav bodi soft smooth love fresh smell cucumb make feel relax would highli recommend best review collect part promot,False
335,leav love fragranc laundri howev hate absolut arrog unilev comfort design larg heavi bottl without incorpor handl tri pour hold one hand lid like go spill hand floor buy,False
336,pour cap white gold one wash machin expect spring fresh cloth time matter cold wash cardigan thirti degre tie boil bikini clean anyway look review small bottl could doubl dedic buy next size get ylang ylang hit town,False
337,sainsburi cheddar chees sauc mix g scrummi good delic flavour perfect chees sauc requir easi make pleas sainsburi bring back version,False
338,realli enjoy luxuri shower gel simpl felt fresh scent kept feel realli clean confid nasti chemic worri children could review collect part promot,False
339,perfect sensit shower gel cleans refresh without irrit like variou gel also love fresh smell contain great ingredi chamomil oil would definit recommend review collect part promot,False
340,love shower gel exactli aim lather well smell divin left feel extrem fresh hydrat afterward need lot either mean long last cost effect review collect part promot,False
341,great shower wash even though cucumb extract strong smell anyth great husband happi sensit irrit would like see eco friendli ingredi glass bottl refil option review collect part promot,False
342,got littl concern detest cucumb wari worri realli strong gel clear smell fresh overpow go guess due natur addit rather artifici flavour etc lather well smell left linger great stuff review collect part promot,False
343,love smell shower gel smell quit natur like brand fragranc strong feel quit refresh shower gel trend dri gel seem right balanc cleans moisturis review collect part promot,False
344,u around week u say u pretti standard shower gel smell quit strang smell like cucumb bottl almost like tea quit gentl ultim u say u pretti averag review collect part promot,False
345,simpl refresh shower gel realli great sensit colour nasti stuff smell realli good provid good lather irrit even littl niec without complaint review collect part promot,False
346,simpl rang pretti sensit love shower gel foam nice mild refresh scent feel soft cleans without dri review collect part promot,False
347,shower gel morn say refresh left soft suppl light refresh smell give thoroughli clean feel definit new stapl famili children includ review collect part promot,False
348,bought month ago cant stop purchas u refresh u name suggest love fresh smell stay wash nice continu sensit gentl review collect part promot,False
349,love simpl shower gel like gel like glue hard rub slip bath goe smoothli easili wast leav feel silki soft top scenti smell simpl like review collect part promot,False
350,like simpl brand feel natur chemic bodi wash shower gel realli great want someth less scent basic feel friendli leav feel clean wash review collect part promot,False
351,neutral u cheap get pay smell niceish natur special standard shower gel posit u artifici perfum colour chemic review collect part promot,False
352,reactiv eczema found shower gel calm aggrav u pleas see fewer ingredi similar ad perfum liter u smell anyth ideal u happi anoth brand shower gel feel safe without risk flare review collect part promot,False
353,amaz feel super soft touch foam easili hand smooth like silk slight scent overpow u need lot gel either littl went long way u irrit singl bit massiv bonu love review collect part promot,False
354,expect simpl nice gentl dont need tonn last expect complaint nice consist would definit buy review collect part promot,False
355,simpl great ever alway great fan simpl quit sensit perfect refresh without overpow scent littl goe long way well particularli bodi puff review collect part promot,False
356,realli gentl cleans strong smell though kind foam nice hope scent bit would great sensit delic small amount need review collect part promot,False
357,week say great subtl smell clean well would recommend good shower gel also afford price star review collect part promot,False
358,love shower gel fresh scent littl bit goe long way keep smell fresh longest hour gentl make whole bodi soft smooth would highli recommend review collect part promot,False
359,simpl brand break easili get dri brand soap shower gel like simpl happen simpl refresh shower gel exactli say give clean feel without irrit liter smell review collect part promot,False
360,bought shower gel time whenev sensit react anoth true simpl brand name neutral great job irrit look someth luxuri highli scent shower gel good everyday essenti review collect part promot,False
361,alway feel dri shower howev sinc seen real improv like textur alway feel good refresh nice light refresh scent review collect part promot,False
362,love simpl know harm start facial start shower gel great soft smell leav feel realli soft would highli recommend review collect part promot,False
363,simpl rang full nasti kind shower gel refresh light cucumb smell bubbl well left soft dri great famili refresh floral masculin smell review collect part promot,False
364,thought would give shower gel whirl alway look tri new one friend said good thought would give whirl scent hardli u last like expect u allow feel like u anyth prefer scent last day other said serv purpos soap would buy unless mani option avail review collect part promot,False
365,tend anoth soap free brand end tri u great suffer reaction soap dri great also person would probabl babi u also fragranc free u great valu money review collect part promot,False
366,love shower gel perfum thing especi due babi nd market lot avoid post birth irrit fresh job without harm chemic review collect part promot,False
367,u irrit instead felt nice soft instantli appli easili u lot felt refresh scent level right overpow review collect part promot,False
368,perfect,True
369,spill everywher box,True
370,absolut love scent make cloth smell fresh well bed linnen,True
371,pick rush store pleas remov make eas leav feel tighter brighter side wipe remain strong moist usual micellar water continu good overpow scent perfum colour excel qualiti immedi result tri disappoint super soft residu pleas,False
372,usual buy organ cosmet want natur without high price tag delight find shower cream one big brand contain sl harm irrit ad foam agent creat lather silki smooth thick creami gentl rich enough moisturis dri matur gorgeou delic fragranc feel far expens excel valu especi contain sodium laureth sulfat sodium lauryl sulfat paraben,False
373,mayonnais would get star tast contain style substanc squeezi bottl geniu idea that stop tall size cap make top heavi unstabl everi bottl ive ever put fridg tumbl cap made brittl plastic shatter hit kitchen floor like groundhog day time happen review comment imposs get bottl sure contain cri design overhaul,False
374,ice cream great cooki dough piec right size ice cream creami delici problem open tub imposs stop eat gone,False
375,nightli treat perfect,False
376,perfect even better offer,False
377,far concern best remov makeup even waterproof mascara tri mani make none good,False
378,tri alot bleach toilet clean year keep come back domesto far superior other tri realli thick excel clean job alway reliabl,False
379,ive tri mani altern mayo beat homemad reliabl tasti versatil last age fridg,False
380,half bag split,True
381,good valu money wash realli well love smell,True
382,love rang bodi lotion greasi easi appli soak quickli leav feel super soft moisturis great valu money scent fresh light great go beauti essenti bathroom cupboard review collect part promot,False
383,happi vaselin intens care cream gentl sooth fussi purchas sensit dri tick box perfect type happi review collect part promot,False
